Driver,n_wet,mean_wet,mean_dry,dnf_count,exp_score,perf_score,wet_factor_adjusted
ALB,20.0,110.5266,89.2701551724138,0.0,2.3222192947339195,1.238113676250838,0.9147229519070319
ALO,64.0,91.97412499999999,89.85314912280704,0.0,2.8129133566428557,1.0236049142172423,0.9160402229972915
GAS,76.0,93.54547368421053,88.63624430379747,0.0,2.886490725172482,1.0553862521925779,0.9691866544335193
HAM,51.0,87.22245098039218,88.1466222455404,0.0,2.7160033436347994,0.9895155226416521,0.8550248519900767
HUL,17.0,110.82288235294119,89.63448577449948,0.0,2.255272505103306,1.2363866584982373,0.8871134455802793
LEC,52.0,86.29951923076925,88.53841514860977,0.0,2.724275869600789,0.9747127174788188,0.8447992944831761
NOR,68.0,89.9801617647059,88.09751816443595,0.0,2.838849090737255,1.0213699958806552,0.922467828177502
OCO,85.0,93.9876,89.5300101010101,1.0,2.9344984512435675,1.0497887791362999,0.9996818544695274
PIA,55.0,87.24176363636364,88.36088257575759,0.0,2.7481880270062007,0.9873346790257052,0.8632501469172694
RUS,53.0,83.62545283018869,87.83646410515672,0.0,2.7323937598229686,0.9520585064771431,0.8276233764085413
SAI,25.0,93.18971999999998,88.15651106639841,1.0,2.414973347970818,1.0570940123731827,0.8284226284248292
STR,24.0,110.788125,89.02416902944384,0.0,2.3979400086720375,1.2444724416732038,0.9494004296179431
TSU,72.0,92.31962500000002,89.22740102171137,1.0,2.863322860120456,1.034655542388108,0.961373412451465
VER,62.0,87.64946774193548,88.42110099999998,0.0,2.7993405494535817,0.9912732000694665,0.8828256162720444